Дата операции;Дата обработки;Сумма;Валюта;Описание;Контрагент;Категория;Статус
15.06.2026;16.06.2026;-4 919,58;RUB;Операция Atm 4412 Moscow;ATM 4412 MOSCOW;cash;Проведена
14.06.2026;16.06.2026;2 011,64;RUB;Операция Возврат Ozon Ru;ВОЗВРАТ OZON RU;shopping;Проведена
12.06.2026;13.06.2026;-3 706,03;RUB;Операция Pyaterochka Moscow;PYATEROCHKA MOSCOW;groceries;Проведена
04.06.2026;;-434,63;RUB;Операция Pyaterochka Moscow;PYATEROCHKA MOSCOW;groceries;Отклонена
29.05.2026;29.05.2026;-8 001,12;RUB;Операция Apteka 36.6;APTEKA 36.6;health;Проведена
14.05.2026;15.05.2026;-7 653,60;RUB;Операция Apteka 36.6;APTEKA 36.6;health;Проведена
24.04.2026;25.04.2026;-3 509,36;RUB;Операция Atm 4412 Moscow;ATM 4412 MOSCOW;cash;Проведена
24.04.2026;24.04.2026;-2 929,13;RUB;Операция Ozon Ru;OZON RU;shopping;Проведена
16.04.2026;18.04.2026;2 343,76;RUB;Операция Возврат Ozon Ru;ВОЗВРАТ OZON RU;shopping;Проведена
09.04.2026;09.04.2026;5 488,78;RUB;Операция Возврат Ozon Ru;ВОЗВРАТ OZON RU;shopping;Проведена
07.04.2026;08.04.2026;-5 707,26;RUB;Операция Pyaterochka Moscow;PYATEROCHKA MOSCOW;groceries;Проведена
30.03.2026;31.03.2026;-543,77;RUB;Операция Atm 4412 Moscow;ATM 4412 MOSCOW;cash;Проведена
24.03.2026;24.03.2026;-8 437,23;RUB;Операция Ivan P.;IVAN P.;transfers;Проведена
22.03.2026;23.03.2026;-7 076,82;RUB;Операция Ozon Ru;OZON RU;shopping;Проведена
13.03.2026;13.03.2026;-7 377,55;RUB;Операция Ozon Ru;OZON RU;shopping;Проведена
13.03.2026;;-3 769,41;RUB;Операция Atm 4412 Moscow;ATM 4412 MOSCOW;cash;В обработке
12.03.2026;13.03.2026;-7 621,41;RUB;Операция Pyaterochka Moscow;PYATEROCHKA MOSCOW;groceries;Проведена
11.03.2026;12.03.2026;4 837,97;RUB;Операция Кэшбэк За Покупки;КЭШБЭК ЗА ПОКУПКИ;cashback;Проведена
10.03.2026;10.03.2026;1 809,03;RUB;Операция Возврат Ozon Ru;ВОЗВРАТ OZON RU;shopping;Проведена
24.02.2026;24.02.2026;3 866,86;RUB;Операция Возврат Ozon Ru;ВОЗВРАТ OZON RU;shopping;Проведена
24.02.2026;26.02.2026;-5 175,37;RUB;Операция Apteka 36.6;APTEKA 36.6;health;Проведена
24.02.2026;24.02.2026;-1 842,34;RUB;Операция Apteka 36.6;APTEKA 36.6;health;Проведена
23.02.2026;23.02.2026;-3 279,19;RUB;Операция Ivan P.;IVAN P.;transfers;Проведена
17.02.2026;17.02.2026;-5 166,93;RUB;Операция Apteka 36.6;APTEKA 36.6;health;Проведена
14.02.2026;15.02.2026;-2 794,56;RUB;Операция Ozon Ru;OZON RU;shopping;Проведена
12.02.2026;13.02.2026;-2 345,37;RUB;Операция Atm 4412 Moscow;ATM 4412 MOSCOW;cash;Проведена
06.02.2026;07.02.2026;-8 800,21;RUB;Операция Ivan P.;IVAN P.;transfers;Проведена
31.01.2026;01.02.2026;6 883,12;RUB;Операция Начисление Процентов;НАЧИСЛЕНИЕ ПРОЦЕНТОВ;interest;Проведена
30.01.2026;30.01.2026;8 024,99;RUB;Операция Возврат Ozon Ru;ВОЗВРАТ OZON RU;shopping;Проведена
29.01.2026;31.01.2026;3 217,82;RUB;Операция Кэшбэк За Покупки;КЭШБЭК ЗА ПОКУПКИ;cashback;Проведена
22.01.2026;22.01.2026;-8 448,05;RUB;Операция Ozon Ru;OZON RU;shopping;Проведена
14.01.2026;14.01.2026;3 907,45;RUB;Операция Кэшбэк За Покупки;КЭШБЭК ЗА ПОКУПКИ;cashback;Проведена
13.01.2026;13.01.2026;-7 158,37;RUB;Операция Apteka 36.6;APTEKA 36.6;health;Проведена
13.01.2026;14.01.2026;-8 553,89;RUB;Операция Ivan P.;IVAN P.;transfers;Проведена
